Time (s),Ground Truth (N),Jacobian Estimate (N),In Contact
6.939999999999458,58.61731173328449,58.617308994031276,1
6.9599999999994555,58.38019255960686,58.3801779607134,1
6.979999999999453,58.637382591261996,58.63738452917232,1
6.999999999999451,58.691007103040015,58.69100902262216,1
7.019999999999449,58.66632261667726,58.66632278368037,1
7.079999999999442,58.51928383800001,58.51928232079504,1
7.09999999999944,58.6575076866485,58.65751049784298,1
7.119999999999438,58.65757978848138,58.657581014126805,1
7.139999999999436,58.5888770577877,58.58887382893708,1
7.1599999999994335,58.38834461109684,58.38833468091661,1
7.179999999999431,58.612715889938805,58.61271896066037,1
7.199999999999429,58.64716951298598,58.64717180063977,1
7.219999999999427,58.37714238084576,58.377131953725154,1
7.239999999999425,58.61435391952561,58.61435800749834,1
7.2599999999994225,58.647253469135876,58.64725652228288,1
7.27999999999942,58.45194364764116,58.451940351576646,1
7.299999999999418,58.60186773571933,58.601871260791725,1
7.319999999999416,58.5132919806067,58.513284533959805,1
7.3599999999994115,58.52057800606777,58.52057500178587,1
7.419999999999405,58.377916029656284,58.37791150116571,1
7.439999999999403,58.57989890448834,58.579904243624725,1
7.4599999999994,58.39749999516496,58.39749679678931,1
7.499999999999396,58.42312146465093,58.423122423130785,1
7.539999999999392,58.467131287469286,58.46713514109695,1
7.559999999999389,58.298241219497996,58.2982326717132,1
7.599999999999385,58.39427414000636,58.39427625994575,1
7.619999999999383,58.259299298810596,58.2592806383195,1
7.639999999999381,58.47262303842427,58.47262912612747,1
7.659999999999378,58.34707234538324,58.34707320600327,1
7.679999999999376,58.23550676661566,58.235488686578,1
7.719999999999372,58.38831258437005,58.388317621520436,1
7.73999999999937,58.299708615634955,58.299708849605,1
7.759999999999367,58.18166446577428,58.181651731173716,1
7.799999999999363,58.36265466041019,58.36266063413183,1
7.819999999999361,58.2185356861535,58.218532426679985,1
7.839999999999359,58.17599057785368,58.17597466788157,1
7.859999999999356,58.16805516307705,58.168029702335716,1
7.91999999999935,58.31061055722978,58.310618280843116,1
7.939999999999348,58.25107214529583,58.251076935158636,1
7.959999999999345,58.1590628568777,58.159061652319544,1
7.979999999999343,58.102569257704,58.10255966033967,1
7.999999999999341,58.099410008063636,58.09940220300258,1
8.019999999999348,58.06431030763188,58.0643008148929,1
8.039999999999354,58.07919792237988,58.07919086405909,1
8.059999999999361,58.09266739806632,58.09266535935372,1
8.079999999999368,58.11885856092994,58.11886071615564,1
8.099999999999374,58.13107598875156,58.131080827085725,1
8.119999999999381,58.14812223367669,58.1481281067499,1
8.159999999999394,57.96740423269964,57.967379006248144,1
8.179999999999401,57.980765189207936,57.98075333091526,1
8.199999999999408,58.04233101902202,58.042334844392215,1
8.259999999999428,57.93352676788485,57.933522068776114,1
8.279999999999434,57.99400197977705,57.99400647109156,1
8.319999999999448,57.89337274059712,57.89336905175964,1
8.359999999999461,57.80967042888635,57.80965739151693,1
8.419999999999481,57.84034473161466,57.840346421875324,1
8.459999999999495,57.81441429545087,57.8144135880413,1
8.499999999999508,57.78973345622901,57.789736843015326,1
8.519999999999515,57.688487719092045,57.68847781345244,1
8.559999999999528,57.69469488143171,57.694693018108346,1
8.579999999999535,57.61869002756659,57.61866936539401,1
8.619999999999548,57.64263199044315,57.642630923949575,1
8.639999999999555,57.59999696241615,57.599989727615856,1
8.699999999999575,57.36768786883085,57.36766541781451,1
8.719999999999581,57.43095207160454,57.43091790746799,1
8.739999999999588,57.37253364681306,57.372513862958606,1
8.759999999999595,57.38366148216662,57.383643424596315,1
8.779999999999601,57.39267948213916,57.392673027432295,1
8.799999999999608,57.423188887017865,57.42318096866806,1
8.819999999999615,57.39825375707692,57.39824671819598,1
8.839999999999621,57.45549866249866,57.45550890825459,1
8.859999999999628,57.45358499407876,57.45359342913403,1
8.919999999999648,57.32334947725675,57.323337265404945,1
8.939999999999655,57.10362703767207,57.103590321550385,1
8.959999999999662,57.188118483429356,57.188105434334865,1
8.979999999999668,57.28160961089006,57.28161707907735,1
9.039999999999688,57.09595278100612,57.09594081157785,1
9.059999999999695,57.25259201963746,57.25260809596606,1
9.099999999999708,56.99564317900244,56.995630333861925,1
9.119999999999715,57.19055931258745,57.19057723854209,1
9.139999999999722,56.876081637057254,56.87605038974135,1
9.159999999999728,57.029549077685644,57.02955287165761,1
9.199999999999742,56.90334643397739,56.90334772172241,1
9.219999999999748,56.89564887955173,56.89565654204041,1
9.239999999999755,56.89360755875409,56.89361650239641,1
9.279999999999768,56.83705964061399,56.837061845541164,1
9.339999999999788,56.71119977749252,56.71118915908955,1
9.359999999999795,56.68712678184637,56.68713176458543,1
9.379999999999802,56.79086278172695,56.79088431850735,1
9.399999999999809,54.83456119190661,54.83454339215913,1
9.439999999999822,56.563017724343425,56.56301548711445,1
9.459999999999829,56.478329051872606,56.47831001342283,1
9.499999999999842,54.711627137000065,54.7116079157051,1
